Discovery Family|Discovery.Family.Channel.us
Discovery Life Channel|Discovery.Life.Channel.us
Disney Channel|Disney.-.Eastern.Feed.us
Disney JR|Disney.Junior.USA.-.East.us
Disney XD|Disney.XD.USA.-.Eastern.Feed.us
E! Entertainment Television|E!.Entertainment.USA.-.Eastern.Feed.us
ESPN Deportes|ESPN.Deportes.us
ESPN USA|ESPN.us
ESPN2 USA|ESPN2.us
ESPNU USA|ESPN.U.us
ESPNews|ESPN.News.us
FETV - Family Entertainment Television|FETV.(Family.Entertainment.Television).us
FOX Deportes USA|Fox.Deportes.us
FOX Soccer Plus|FOX.Soccer.Plus.us
FOX (WFXT) USA|FOX.(WFXT).Boston,.MA.us
FOX (WNYW) USA|FOX.(WNYW).New.York,.NY.us
FUSE TV USA|FUSE.TV.-.Eastern.feed.us
FX Movie Channel|FX.Movie.Channel.us
FX USA|FX.Networks.East.Coast.us
FXX USA|FXX.USA.-.Eastern.us
FYI|FYI.USA.-.Eastern.us
FanDuel Sports Network Detroit|FanDuel.Sports.Network.Detroit.HD.us
FanDuel Sports Network Florida|FanDuel.Sports.Network.Florida.us
FanDuel Sports Network Great Lakes|FanDuel.Sports.Network.Great.Lakes.us
FanDuel Sports Network Indiana|FanDuel.Sports.Indiana.us
FanDuel Sports Network Midwest|FanDuel.Sports.Network.Midwest.St..Louis.us
FanDuel Sports Network North|FanDuel.Sports.Network.North.us
FanDuel Sports Network Ohio|FanDuel.Sports.Network.Ohio.-.Cleveland.us
FanDuel Sports Network Oklahoma|FanDuel.Sports.Network.Oklahoma.us
FanDuel Sports Network SoCal|FanDuel.Sports.Network.SoCal.us
FanDuel Sports Network South|FanDuel.Sports.Network.South.us
FanDuel Sports Network Southeast|FanDuel.Sports.Network.Southeast.us
FanDuel Sports Network Sun|Fanduel.Sports.Sun.us
FanDuel Sports Network West|FanDuel.Sports.Network.West.us
FanDuel Sports Network Wisconsin|FanDuel.Sports.Network.Wisconsin.us
Fight Network|The.Fight.Network.(United.States).(TFN).us
Fox Business|Fox.Business.us
Fox News|Fox.News.us
Fox Sports 1 USA|Fox.Sports.1.us
Fox Sports 2 USA|Fox.Sports.2.us
Fox Weather Channel|FOXWeather.us
Freeform|Freeform.-.East.Feed.us
GOLF Channel USA|Golf.Channel.USA.us
Galavisión USA|Galavision.-.Eastern.Feed.us
Game Show Network|Game.Show.Network.-.East.us
Great American Family Channel|Great.American.Family.us
Grit Channel|Grit.TV.us
HBO Comedy USA|HBO.Comedy.HD.-.East.us
HBO Family USA|HBO.Family.-.Eastern.Feed.us
HBO Latino USA|HBO.Latino.(HBO.7).-.Eastern.us
HBO Signature USA|HBO.Signature.(HBO.3).-.Eastern.us
HBO USA|HBO.-.Eastern.Feed.us
HBO Zone USA|HBO.Zone.HD.-.East.us
HBO2 USA|HBO.2.-.Eastern.Feed.us
HGTV|HGTV.USA.-.Eastern.Feed.us
Hallmark Movies & Mysteries|Hallmark.Mystery.Eastern.-.HD.us
Headline News|HLN.us
History USA|History.Channel.US.-.Eastern.Feed.us
IFC TV USA|IFC.HDTV.(East).us
ION USA|ION..-.Eastern.Feed.us
Investigation Discovery (ID USA)|Investigation.Discovery.USA.-.Eastern.us
Law & Crime Network|Law.and.Crime.us
Lifetime Movies Network|Lifetime.Movies.-.East.us
Lifetime Network|Lifetime.Network.US.-.Eastern.Feed.us
MASN USA|Mid-Atlantic.Sports.Network.us
MAVTV USA|MavTV.USA.us
METV USA|Me.TV.us
MGM+ USA / Epix|MGM+.HDTV.(East).(MGM+HD).us
MLB Network USA|MLB.Network.us
MSG USA|MSG.-.Syracuse.us
MSNBC|MSNBC.USA.us
MTV USA|MTV.USA.-.Eastern.Feed.us
MY9TV USA|MNT.(WWOR).New.York,.NY.us
Magnolia Network|Magnolia.-.East.us
Marquee Sports Network|Marquee.Sports.Network.us
Motor Trend|Motor.Trend.HD.us
NBA TV USA|NBA.TV.USA.us
NBC Sports Bay Area|NBC.Sports.Bay.Area.us
NBC Sports Boston|NBC.Sports.Boston.us
NBC Sports California|NBC.Sports.California.us
NBC Sports Philadelphia|NBC.Sports.Philadelphia.HDTV.(NBCSPAHD).us
Monumental Sports Network USA|Monumental.Sports.Network.us
NBC (WMAQ) USA|NBC.(WMAQ).Chicago,.IL.us
NBC (WCAU) USA|NBC.(WCAU).Philadelphia,.PA.us
NBC (WNBC) USA|NBC.(WNBC).New.York,.NY.us
NESN USA|New.England.Sports.Network.us
NFL Network|NFL.Network.us
NHL Network USA|NHL.Network.USA.us
NICK|Nickelodeon.USA.-.East.Feed.us
NICK JR|Nick.Jr..-.East.us
Nat Geo Wild USA|National.Geographic.Wild.us
National Geographic (NGC)|National.Geographic.US.-.Eastern.us
NewsNation USA|NewsNation.-.Eastern.Feed.us
Newsmax USA|NewsMax.TV.us
Nick Music|Nick.Music.(NICM).us
Nicktoons|Nicktoons.-.East.us
Oprah Winfrey Network (OWN)|Oprah.Winfrey.Network.USA.Eastern.us
Oxygen True Crime|Oxygen.-.Eastern.Feed.us
PDC TV|Darts.Dummy.us
POP TV USA|POP.-.East.us
Pac-12 Network USA|Sports.Dummy.us
Paramount Network|Paramount.Network.USA.-.Eastern.Feed.us
Reelz Channel|ReelzChannel.us
Root Sports Northwest|Root.Sports.Northwest.us
SEC Network USA|SEC.Network.us
SYFY USA|Syfy.-.Eastern.Feed.us
Science Channel|Science.us
Showtime 2 USA (SHO2) USA|Showtime.2.-.Eastern.us
Showtime Extreme USA|Showtime.Extreme.-.Eastern.us
Showtime Family Zone (SHO Family Zone) USA|Showtime.FamilyZone.(East).(SHOFe).us
Showtime Next (SHO Next) USA|Showtime.Next.HD.-.Eastern.us
Showtime Showcase USA|Showtime.Showcase.HD.-.East.us
Showtime USA|Paramount+.with.Showtime.-.Eastern.Feed.us
Smithsonian Channel|Smithsonian.Channel.USA.HD.us
Space City Home Network|Space.City.Home.Network.us
Spectrum Sportsnet LA|Spectrum.Sportsnet.Lakers.us
SportsNet New York (SNY)|SNY:.SportsNet.New.York.(Comcast).us
SportsNet Pittsburgh|SportsNet.Pittsburgh.us
Sportsnet Ontario|Sportsnet.(Ontario).ca
Sportsnet West|Sportsnet.(West).-.Satellite/Digital.ca
Sportsnet World|Sportsnet.World.ca
Starz|Starz.-.Eastern.us
Sundance TV|SundanceTV.USA.-.East.us
TBS USA|TBS.-.East.us
TCM USA|Turner.Classic.Movies.USA.us
TLC|TLC.USA.-.Eastern.us
TMC Channel USA|TMC.(US).-.Eastern.Feed.us
TNT USA|TNT.-.Eastern.Feed.us
TUDN USA|TUDN.us
TV ONE USA|TV.One.us
TVLAND|TV.Land.-.Eastern.us
TeenNick|TeenNick.-.Eastern.us
Telemundo|Telemundo..-.Eastern.Feed.us
Tennis Channel|The.Tennis.Channel.us
The Food Network|Food.Network.USA.-.Eastern.Feed.us
The Hallmark|Hallmark.-.Eastern.Feed.us
The Weather Channel|The.Weather.Channel.us
Travel Channel|TheTravelChannel.us
TruTV USA|truTV.USA.-.Eastern.us
USA Network|USA.Network.-.East.Feed.us
Unimas|UniMás..-.Network.Pacific.us
Univision|Univision.-.Eastern.Feed.us
VH1 USA|VH1.-.Eastern.Feed.us
VICE TV|VICE.us
WETV USA|WE.(Women&apos;s.Entertainment).-.Eastern.us
WWE Network|WWE.Network.us
Willow Cricket|Willow.Cricket.HDTV.(WILLOWHD).us
Willow XTRA|Willow.Xtra.us
YES Network USA|YES.Network.us
